timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,highest_bid,lowest_bid,highest_ask,lowest_ask
2021-12-15,4.93100000,7.95900000,4.83900000,5.78400000,10820225.80000000,1639612799999,65223129.63520000,165887,5412294.30000000,32745237.78660000,0,0.23330000,0.21990000,0.23340000,0.24650000
2021-12-16,5.78100000,5.79900000,5.29000000,5.34900000,2314236.10000000,1639699199999,12775103.80240000,40858,1069927.00000000,5908129.94920000,0,0.23330000,0.21990000,0.23340000,0.24650000
2021-12-17,5.35000000,5.45200000,4.90000000,5.16400000,2491004.70000000,1639785599999,12875038.36150000,55633,1170923.60000000,6049411.20990000,0,0.23330000,0.21990000,0.23340000,0.24650000
2021-12-18,5.16000000,5.35300000,5.06600000,5.28100000,1784827.80000000,1639871999999,9266574.25670000,27726,870773.30000000,4522076.80090000,0,0.23330000,0.21990000,0.23340000,0.24650000
2021-12-19,5.27900000,5.59000000,5.01400000,5.05500000,1601370.40000000,1639958399999,8293550.93410000,22487,752749.10000000,3903589.61030000,0,0.23330000,0.21990000,0.23340000,0.24650000
2021-12-20,5.05100000,5.29900000,4.85000000,5.28000000,1916391.10000000,1640044799999,9694858.72870000,37342,939391.70000000,4760607.96620000,0,0.23330000,0.21990000,0.23340000,0.24650000
2021-12-21,5.28000000,5.38100000,5.11500000,5.24200000,2145966.90000000,1640131199999,11242830.66700000,42604,1077479.90000000,5648202.37130000,0,0.23330000,0.21990000,0.23340000,0.24650000
2021-12-22,5.24200000,5.64500000,5.18000000,5.28000000,2931914.00000000,1640217599999,15715917.01570000,49970,1470384.20000000,7879004.00780000,0,0.23330000,0.21990000,0.23340000,0.24650000
2021-12-23,5.28000000,5.81100000,5.20300000,5.67600000,3241182.70000000,1640303999999,17705852.42960000,61801,1634676.30000000,8916811.11350000,0,0.23330000,0.21990000,0.23340000,0.24650000
2021-12-24,5.67600000,5.93200000,5.52900000,5.56800000,2485965.20000000,1640390399999,14273387.84240000,37477,1191004.70000000,6840370.21780000,0,0.23330000,0.21990000,0.23340000,0.24650000
