timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,highest_bid,lowest_bid,highest_ask,lowest_ask
2021-04-05,14.33390000,15.16320000,13.55330000,14.20400000,1279244.48000000,1617667199999,18268564.27529100,67381,636250.79000000,9106928.51563100,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-04-06,14.20400000,15.41380000,13.81000000,14.14920000,1675104.96000000,1617753599999,24527636.73622800,81157,822273.86000000,12063508.80886200,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-04-07,14.14910000,14.25000000,11.56000000,12.19770000,2184256.42000000,1617839999999,27796374.33440500,88258,1022298.80000000,13031918.37311300,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-04-08,12.19870000,13.31530000,12.05950000,12.85670000,1363854.43000000,1617926399999,17317928.09969000,57358,674276.49000000,8572944.82607400,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-04-09,12.88590000,13.35490000,12.45000000,12.71910000,1400771.12000000,1618012799999,18094672.63003600,56804,657491.42000000,8502102.01533700,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-04-10,12.71900000,13.94950000,12.11100000,12.54420000,2009557.81000000,1618099199999,26172605.84124900,71270,977901.65000000,12749898.00011000,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-04-11,12.56530000,12.94920000,12.19050000,12.85210000,1114573.12000000,1618185599999,13949741.57781400,44241,555876.57000000,6963437.65833100,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-04-12,12.86690000,15.35950000,12.73270000,13.90250000,6427778.69000000,1618271999999,90622145.83019100,209384,3239274.65000000,45682982.32216400,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-04-13,13.85000000,14.60000000,12.58830000,12.71100000,2516236.78000000,1618358399999,33692947.88801100,95285,1214113.26000000,16259784.64501300,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-04-14,12.71100000,13.10000000,11.60000000,12.22960000,2276642.54000000,1618444799999,28222869.46425500,95063,1105989.92000000,13732029.83887000,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-04-15,12.23990000,12.97280000,12.02920000,12.51320000,2006950.08000000,1618531199999,25177228.24862300,84548,1012932.90000000,12718914.89923100,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-04-16,12.51320000,12.68360000,11.50000000,11.88500000,2209222.66000000,1618617599999,26592158.04088900,100870,1086704.48000000,13090136.02638600,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-04-17,11.89260000,12.46950000,11.66010000,11.79510000,1668028.39000000,1618703999999,20153415.15702300,83723,847264.43000000,10243593.27062000,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-04-18,11.78120000,12.03770000,8.07840000,9.77060000,6153624.42000000,1618790399999,58471653.00203500,220623,2767764.58000000,26334562.58172200,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-04-19,9.77060000,10.53120000,8.63410000,8.67910000,3000135.00000000,1618876799999,28887887.84139500,100008,1476455.91000000,14225223.02356800,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-04-20,8.68860000,9.40000000,7.91230000,9.22820000,2784672.97000000,1618963199999,24278741.22033900,89913,1395849.82000000,12185238.96034300,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-04-21,9.22400000,9.35520000,8.45020000,8.53020000,1816630.77000000,1619049599999,16206566.28604600,76947,903043.80000000,8062245.28117600,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-04-22,8.54860000,9.55000000,7.61670000,7.85360000,2850063.52000000,1619135999999,25163759.32335100,103919,1415284.03000000,12520600.45288400,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-04-23,7.86050000,8.01430000,6.20000000,7.55370000,2823561.36000000,1619222399999,20081250.78694200,89420,1346704.55000000,9581942.02684500,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-04-24,7.53230000,7.55070000,6.71040000,7.30000000,2003046.42000000,1619308799999,14264121.14718200,48311,990730.14000000,7059340.11476800,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-04-25,7.29960000,12.53000000,7.27820000,8.19480000,13439187.58000000,1619395199999,126018246.68475700,285043,6709639.04000000,63355985.24387300,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-04-26,8.19500000,9.50000000,8.02010000,8.94400000,5013716.00000000,1619481599999,44611815.73259000,115890,2500966.47000000,22266903.07494100,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-04-27,8.95170000,10.99000000,8.63990000,10.42000000,7024755.39000000,1619567999999,69851024.36965200,174783,3531705.98000000,35096789.90002500,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-04-28,10.41960000,13.61980000,9.22310000,13.01990000,11058513.90000000,1619654399999,125251551.20194900,269325,5474408.50000000,62208479.11271900,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-04-29,13.01950000,16.58120000,12.89130000,13.45820000,22115443.10000000,1619740799999,321085349.43802900,582284,11039913.84000000,160440800.69634300,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-04-30,13.47570000,18.70000000,12.55000000,17.65340000,15947818.90000000,1619827199999,240731652.34927900,464768,8076155.35000000,122025611.42326900,0,0.68500000,0.55200000,0.68600000,0.80800000
2021-05-01,17.65020000,19.66690000,15.80800000,18.21070000,17477658.37000000,1619913599999,306205708.53245200,552636,8735941.56000000,153280053.39557800,0,0.68500000,0.55200000,0.68600000,0.80800000
